invoice_no,invoice_ref,amount,payment_method,balanced
E6737,,17467990.25,Advance,False
E6738,,17467996.06,Advance,False
E6739,,17467998.96,Due,False
E6740,,17471338.0,Advance,False
E6741,,17471345.64,Due,False
E6742,,17471352.82,Due,False
E6743,,17471368.65,Advance,False
E6744,,17471371.49,Due,False
E6745,,17471373.52,Due,False
E6746,,17471374.5,Due,False
E6747,,17471375.37,Due,False
E6748,,17471383.63,Due,False
E6761,,17474152.49,Due,False
E6762,,17474165.95,Due,False
E6763,,17474172.21,Due,False
E6764,,17474174.19,Due,False
E6765,,17474175.91,Due,False
E6766,,17474179.42,Advance,False
E6767,,17474181.97,Due,False
E6768,,17474183.93,Due,False
E6769,,17474186.36,Due,False
E6776,,17477369.77,Due,False
E6777,,17477376.29,Due,False
E6778,,17477389.48,Advance,False
E6779,,17477391.5,Due,False
E6780,,17477396.4,Due,False
E6788,,17479098.95,Due,False
E6789,,17479106.48,Due,False
E6790,,17479107.6,Due,False
E6797,,17480011.81,Due,False
E6798,,17480014.97,Advance,False
E6803,,17480054.41,Advance,False
E6810,,17483476.5,Advance,False
E6811,,17483478.96,Advance,False
E6812,,17483480.78,Due,False
E6813,,17483483.26,Due,False
E6814,,17483484.26,Due,False
E6815,,17483485.75,Due,False
E6816,,17483492.22,Advance,False
E6817,,17483495.47,Advance,False
E6825,,17485210.94,Advance,False
E6826,,17485217.17,Due,False
E6827,,17485213.1,Advance,False
E6828,,17485220.29,Advance,False
E6829,,17486025.08,Advance,False
E6830,,17486029.29,Advance,False
E6832,,17486035.07,Due,False
E6833,,17486036.02,Due,False
E6834,,17486038.41,Due,False
E6835,,17486041.12,Due,False
E6836,,17486042.65,Due,False
E6837,,17486043.84,Due,False
E6838,,17486046.8,Advance,False
E6847,,17489472.44,Due,False
E6848,,17489473.6,Due,False
E6849,,17489475.47,Advance,False
E6850,,17489476.97,Due,False
E6851,,17489479.43,Due,False
E6852,,17489483.18,Advance,False
E6854,,17489499.69,Due,False
E6855,,17489501.74,Due,False
E6856,,17489591.64,Advance,False
E6857,,17489592.17,Due,False
E6858,,17489597.34,Advance,False
E6863,,17490442.65,Advance,False
E6881,,17492113.85,Due,False
